	_id	sameAs
319	gse69027	https://data.niaid.nih.gov/resources?id=dde_5a8901bc36fc84b8
320	prjna354635	https://data.niaid.nih.gov/resources?id=dde_5c7187a9b7b22f62
321	gse97672	https://data.niaid.nih.gov/resources?id=dde_5e05907318982f1d
322	gse70217	https://data.niaid.nih.gov/resources?id=dde_64bb54c9887d7e7d
323	msv000080026	https://data.niaid.nih.gov/resources?id=dde_654a77233958c28c
324	gse80833	https://data.niaid.nih.gov/resources?id=dde_695d021c2f1871a8
325	prjna259179	https://data.niaid.nih.gov/resources?id=dde_6cbc404ca1290cb3
326	msv000081048	https://data.niaid.nih.gov/resources?id=dde_6dfb737e2c43c1d9
327	gse80832	https://data.niaid.nih.gov/resources?id=dde_7b5697cba053e2a9
328	gse75222	https://data.niaid.nih.gov/resources?id=dde_7feb4282102e9f2d
329	prjna542628	https://data.niaid.nih.gov/resources?id=dde_87ea6ceaf280c0d6
330	gse71733	https://data.niaid.nih.gov/resources?id=dde_8e02092395d97cf1
331	prjna303184	https://data.niaid.nih.gov/resources?id=dde_9256f738766a616a
332	msv000081560	https://data.niaid.nih.gov/resources?id=dde_9375897e45d49e25
333	gse196122	https://data.niaid.nih.gov/resources?id=dde_941bdec6e3f3a712
334	msv000080018	https://data.niaid.nih.gov/resources?id=dde_94ce011db68d8ca9
335	gse69942	https://data.niaid.nih.gov/resources?id=dde_9739d4541180077c
336	gse79459	https://data.niaid.nih.gov/resources?id=dde_a2d6edf79900b7f1
337	gse159593	https://data.niaid.nih.gov/resources?id=dde_a47251364ec0188c
